stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1303,1303,"Government Transit Centre",,  53.535867,-113.504431,,,0,
1304,1304,"Government Transit Centre",,  53.536019,-113.504463,,,0,
1305,1305,"Government Transit Centre",,  53.536199,-113.504458,,,0,
1308,1308,"Government Transit Centre",,  53.536339,-113.504592,,,0,
1309,1309,"Government Transit Centre",,  53.536148,-113.504579,,,0,
1310,1310,"Government Transit Centre",,  53.535982,-113.504596,,,0,
1320,1320,"95 Street & 118 Avenue",,  53.570332,-113.486576,,,0,
1321,1321,"100 Street & 102 Avenue nearside",,  53.543175,-113.490524,,,0,
1322,1322,"103 Street & Jasper Avenue",,  53.540832,-113.496440,,,0,
1323,1323,"67 Street & 112 Avenue",,  53.564165,-113.440426,,,0,
1324,1324,"95 Street & 112 Avenue",,  53.560831,-113.487239,,,0,
1325,1325,"87 Street & 118 Avenue",,  53.570339,-113.474435,,,0,
1326,1326,"34 Street & 111 Avenue",,  53.564509,-113.393636,,,0,
1327,1327,"80 Street & 118 Avenue",,  53.570462,-113.464671,,,0,
1328,1328,"96 Street & Jasper Avenue",,  53.543359,-113.482699,,,0,
1329,1329,"124 Street & 117 Avenue",,  53.568047,-113.536056,,,0,
1330,1330,"54 Street & 122 Avenue",,  53.576955,-113.424472,,,0,
1331,1331,"86 Street & 112 Avenue",,  53.561314,-113.473186,,,0,
1332,1332,"74 Street & 112 Avenue",,  53.561876,-113.451928,,,0,
1333,1333,"109 Street & 111 Avenue",,  53.559016,-113.509060,,,0,
1334,1334,"97 Street & 114 Avenue",,  53.563950,-113.491947,,,0,
1335,1335,"95 Street & 105 Avenue",,  53.549906,-113.481236,,,0,
1336,1336,"101 Street & Jasper Avenue",,  53.540931,-113.492287,,,0,
1337,1337,"36 Street & 118 Avenue",,  53.570438,-113.397372,,,0,
1338,1338,"92 Street & Jasper Avenue",,  53.548991,-113.474857,,,0,
1339,1339,"90 Street & 122 Avenue",,  53.576679,-113.480127,,,0,
1340,1340,"50 Street & 123 Avenue",,  53.578395,-113.419003,,,0,
1341,1341,"95 Street & 113 Avenue",,  53.562336,-113.487266,,,0,
1342,1342,"65 Street & 112 Avenue",,  53.564884,-113.437477,,,0,
1343,1343,"63 Street & 121 Avenue",,  53.575148,-113.438686,,,0,
1344,1344,"95 Street & 107A Avenue",,  53.554254,-113.483654,,,0,
1346,1346,"101 Street & 101A Avenue",,  53.541862,-113.493597,,,0,
1347,1347,"66 Street & 112 Avenue",,  53.564493,-113.439615,,,0,
1348,1348,"101 Street & 113 Avenue",,  53.562914,-113.493618,,,0,
1350,1350,"81 Street & 115 Avenue",,  53.565755,-113.465813,,,0,
1351,1351,"100 Street & Rossdale Road",,  53.538093,-113.490502,,,0,
1352,1352,"53 Street & 112 Avenue",,  53.567331,-113.423695,,,0,
1353,1353,"91 Street & 115 Avenue",,  53.565749,-113.480907,,,0,
1354,1354,"95 Street & 105 Avenue",,  53.549318,-113.481179,,,0,
1355,1355,"38 Street & 111 Avenue",,  53.564369,-113.399891,,,0,
1356,1356,"90 Street & Rowland Road",,  53.547626,-113.472339,,,0,
1357,1357,"78 Street & 120 Avenue",,  53.573506,-113.460647,,,0,
1358,1358,"99 Street & 104 Avenue",,  53.546651,-113.489974,,,0,
1359,1359,"50 Street & 118 Avenue",,  53.570286,-113.418024,,,0,
1360,1360,"101 Street & 107 Avenue",,  53.550952,-113.493845,,,0,
1361,1361,"61 Street & 121 Avenue",,  53.575144,-113.435689,,,0,
1362,1362,"82 Street & 115 Avenue",,  53.565868,-113.466806,,,0,
1363,1363,"97 Street & 109 Avenue",,  53.555737,-113.490918,,,0,
1364,1364,"100 Street & 103 Avenue nearside",,  53.545231,-113.490897,,,0,
1366,1366,"101 Street & 111 Avenue",,  53.558397,-113.493860,,,0,
1367,1367,"50 Street & 118 Avenue",,  53.570431,-113.419236,,,0,
1368,1368,"Fort Road & 122 Avenue",,  53.577026,-113.458890,,,0,
1369,1369,"101 Street & 114 Avenue",,  53.564025,-113.493805,,,0,
1370,1370,"82 Street & 122 Avenue",,  53.576349,-113.467400,,,0,
1372,1372,"101 Street & 117 Avenue",,  53.569000,-113.493883,,,0,
1373,1373,"97 Street & 118 Avenue",,  53.570337,-113.491345,,,0,
1374,1374,"82 Street & 123 Avenue",,  53.578075,-113.467409,,,0,
1375,1375,"42 Street & 114 Avenue",,  53.566841,-113.406716,,,0,
1376,1376,"86 Street & 118 Avenue",,  53.570452,-113.473139,,,0,
1377,1377,"102 Street & 111 Avenue",,  53.558789,-113.494728,,,0,
1378,1378,"38 Street & 118 Avenue",,  53.570433,-113.400441,,,0,
1379,1379,"101 Street & 118 Avenue",,  53.569659,-113.494369,,,0,
1380,1380,"97 Street & 118 Avenue",,  53.570022,-113.492111,,,0,
1381,1381,"120 Street & 102 Avenue",,  53.542683,-113.528499,,,0,
1382,1382,"124 Street & 109A Avenue",,  53.555367,-113.536033,,,0,
1383,1383,"100 Street & 104 Avenue",,  53.546722,-113.490908,,,0,
1384,1384,"57 Street & 118 Avenue",,  53.570422,-113.429496,,,0,
1385,1385,"95 Street & 101A Avenue",,  53.544760,-113.478411,,,0,
1386,1386,"87 Street & 122 Avenue",,  53.576694,-113.473946,,,0,
1387,1387,"84 Street & Jasper Avenue",,  53.556334,-113.470792,,,0,
1388,1388,"119 Street & 111 Avenue",,  53.558782,-113.526485,,,0,
1389,1389,"77 Street & 120 Avenue",,  53.573629,-113.459942,,,0,
1390,1390,"113 Street & Jasper Avenue",,  53.540848,-113.515128,,,0,
1391,1391,"111 Street & Jasper Avenue",,  53.540837,-113.511041,,,0,
1392,1392,"119 Street & Jasper Avenue",,  53.540846,-113.526137,,,0,
1393,1393,"96 Street & Jasper Avenue",,  53.543777,-113.481505,,,0,
1394,1394,"84 Street & Jasper Avenue",,  53.555479,-113.470288,,,0,
1395,1395,"122 Street & 111 Avenue",,  53.558986,-113.532951,,,0,
1396,1396,"38 Street & 114 Avenue",,  53.566836,-113.400462,,,0,
1397,1397,"90 Street & 115 Avenue",,  53.565878,-113.480011,,,0,
1398,1398,"97 Street & 122 Avenue",,  53.576291,-113.492502,,,0,
1399,1399,"38 Street & 106 Avenue",,  53.559621,-113.399403,,,0,
